club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Pool,Wolff,Josh,F,220004.0,220004.0,2010,
Pool,Wolyniec,John,F,88000.0,88000.0,2010,
San Jose Earthquakes,Wondolowski,Chris,M,48000.0,48000.0,2010,Western
Colorado Rapids,Wynne,Marvell,D,66500.0,171750.0,2010,Western
FC Dallas,Yeisley,Jason,F,40000.0,40000.0,2010,Western
Seattle Sounders FC,Zakuani,Steve,F,80000.0,178000.0,2010,Western
Chivas USA,Zamora,Cesar,M,40000.0,40000.0,2010,Western
DC United,Zayner,Jed,D,57000.0,60875.0,2010,Eastern
Chivas USA,Zemanski,Ben,M,40000.0,40000.0,2010,Western
Philadelphia Union,Zimmerman,Nick,D,40000.0,40000.0,2010,Eastern
Chivas USA,Zizzo,Sal,F,60000.0,68250.0,2010,Western
Chivas USA,Zotinca,Alex,D,60000.0,60000.0,2010,Western
Pool,Zusi,Graham,F,40000.0,40000.0,2010,
